metesdescriptionlineid	metesdescription	metesdescriptionline	thencepoint	northsouth	degree	eastwest	foot	topoint	curveleftright	curveradiusfoot	curvetangent	manualxchange	manualychange	metesdescriptionlinenotes	curveinternalangle
87948	8098	28	along the division line between Lots 2, 3 and 3A in Block 276 and lands of Township of Scotch Plains and continuing on the same course along the Southeasterly boundary line of Lots 5, 6 and 7 in Block 71P as shown on the map entitled "Map of High View Court, Lands of Cinkon, Inc., Situated in the Borough of Fanwood and the Township of Scotch Plains, Union County, New Jersey", dated March 11, 1960 and revised November 22, 1960, filed on February 14, 1961 as Map No. 545-F	S	47.647222222222	W	365.95	point in the division line between Lot 8 and Lot 7 in Block 71P as shown on the abovementioned map		\N	0	\N	\N		\N
87949	8098	29	along the Northeasterly boundary line of the abovementioned Lot 8 in Block 71P	S	42.961111111111	E	81.3	point where said boundary line intersects the division line between the Township of Scotch Plains and the Borough of Fanwood		\N	0	\N	\N		\N
87950	8098	30	Southwesterly along the division line between the Township of Scotch Plains and the Borough of Fanwood	S	\N	W	123.03	point where said division line intersects the Southwesterly boundary line of Lot 8, in Block 71P as shown on the above-mentioned map		\N	0	\N	\N		\N
87951	8098	31	continuing along the existing boundary line between the Township of Scotch Plains and the Borough of Fanwood		\N		1500	point and monument on the Northeasterly sideline of Martine Avenue, said monument being the intersection of said Northeasterly sideline of Martine Avenue with the division line between the Borough of Fanwood and the Township of Scotch Plains		\N	0	\N	\N		\N
87952	8098	32	running diagonally across Martine Avenue	S	3.0180555555556	E	51.46	point, said point being the intersection of the centerline of King Street with the centerline of Martine Avenue		\N	0	\N	\N		\N
87953	8098	33	along the centerline of King Street in a general Southwesterly direction and following its various courses	S	\N	W	3290.54	point in the centerline of Terrill Road, said point being a common corner and intersection of the boundary line between the Township of Scotch Plains, Borough of Fanwood and City of Plainfield		\N	0	\N	\N		\N
87954	8099	1	SouthEasterly in a straight line	S	\N	E	6650	point in the centre of the Passaic River, opposite the outlet of the tail race from Parrott's grist mill		\N	0	\N	\N		\N
87955	8099	2	up the centre of said river, following its meanderings		\N		9200	centre of the stone arch viaduct of the Morris & Essex Railroad, across said river near Stanley Post-Office		\N	0	-6505.3823869162	-6505.3823869162		\N
87956	8099	3	North-Westwardly, in a straight line	N	\N	W	2075	centre of Fairmount Avenue, at the intersection of the centre of Fairview Avenue		\N	0	\N	\N		\N
87957	8099	4	South-Westwardly, with the centre of Fairmount Avenue	S	\N	W	1260	centre of Greenwood Avenue, as projected through the Wm. A. Martin estate		\N	0	\N	\N		\N
87958	8099	5	North-Westwardly with the centre of Greenwood Avenue	N	\N	W	1625	centre of Black Brook		\N	0	\N	\N		\N
87959	8099	6	North-Eastwardly, down the centre of Black Brook, with the meanderings thereof	N	\N	E	4925	centre of the Morris & Essex Railroad		\N	0	\N	\N		\N
87960	8099	7	North-Westwardly in a straight line	N	\N	W	2460	boundary of the Borough of Madison, at the intersection of the centres of High Street, and the Afton road		\N	0	\N	\N		\N
87961	8099	8	North-Eastwardly with the boundaries of said Borough and said Afton Road	N	\N	E	1740	place of Beginning		\N	0	\N	\N		\N
87962	8102	1	along the line between the Cedar Grove Cemetery and lands of Jacob Heyser	N	65	W	1270.5	stone West of George Eyster's Garden Fence		\N	0	\N	\N		\N
87963	8102	2	through lands of George Eyster and others	S	46	W	3135	stone East of John Gordon's Inn		\N	0	\N	\N		\N
87964	8102	3		S	37	E	1006.5	stone on the South side of said Creek		\N	0	\N	\N		\N
87965	8102	4	up said Creek, by its courses and distances		\N		1501.5	old Borough line		\N	0	\N	\N		\N
87966	8103	1	by a line running easterly		\N	E	\N	most northerly point of Great Egg Harbour		\N	0	\N	\N		\N
87967	8103	2	southerly along by the sea	S	\N		\N	point of Cape May		\N	0	\N	\N		\N
87968	8103	3	so round the same		\N		\N			\N	0	\N	\N		\N
87969	8103	4	northerly along the west side of Cape May	N	\N		\N			\N	0	\N	\N		\N
87970	8103	5	so westerly along the coast		\N	W	\N			\N	0	\N	\N		\N
87971	8103	6	so up the east side of Morris river aforesaid		\N		\N	first point mentioned		\N	0	\N	\N		\N
87972	8104	1	river Crapwell (formerly called Penisawken) on the south		\N		\N			\N	0	\N	\N		\N
87973	8105	1	river Berkley, (formerly called Old Man's Creek) on the south		\N		\N			\N	0	\N	\N		\N
87974	8106	1	river Tweed, formerly called Back-creek, on the south		\N		\N			\N	0	\N	\N		\N
87975	8108	1	to run up the said river		\N		\N	so far as the tide flows		\N	0	\N	\N		\N
87976	8108	2	from thence		\N		\N	middlemost great river that runeth into the bay of Great Egg Harbour, so far as the tide flows up the same		\N	0	\N	\N		\N
87977	8108	3	down the said river		\N		\N	into the said bay, bounded by Egg Harbour bay, on the north east, the main ocean on the south east, Delaware bay on the south west, and the said Morris river as aforesaid, on the north west		\N	0	\N	\N		\N
87978	8109	1	along the center of Jefferson Street	N	74.3	W	135.43	stone for a corner		\N	0	\N	\N		\N
87979	8109	2		N	75.583333333333	W	11.57	corner to other lands of the said party of the first part		\N	0	\N	\N		\N
87980	8109	3	along the same	S	15.7	W	344.57	right of way of the West Jersey and Seashore Railway		\N	0	\N	\N		\N
